2024-10-11 02:07:54 install debianutils:arm64 <none> 5.17build1
2024-10-11 02:07:54 status half-installed debianutils:arm64 5.17build1
2024-10-11 02:07:54 status unpacked debianutils:arm64 5.17build1
2024-10-11 02:07:54 install diffutils:arm64 <none> 1:3.10-1build1
2024-10-11 02:07:54 status half-installed diffutils:arm64 1:3.10-1build1
2024-10-11 02:07:54 status unpacked diffutils:arm64 1:3.10-1build1
2024-10-11 02:07:54 upgrade dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2024-10-11 02:07:54 status half-configured dpkg:arm64 1.22.6ubuntu6
2024-10-11 02:07:54 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-10-11 02:07:54 status half-installed dpkg:arm64 1.22.6ubuntu6
2024-10-11 02:07:54 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-10-11 02:07:55 install e2fsprogs:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:55 status half-installed e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:55 status unpacked e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:55 install findutils:arm64 <none> 4.9.0-5build1
2024-10-11 02:07:55 status half-installed findutils:arm64 4.9.0-5build1
2024-10-11 02:07:55 status unpacked findutils:arm64 4.9.0-5build1
2024-10-11 02:07:55 install gcc-14-base:arm64 <none> 14-20240412-0ubuntu1
2024-10-11 02:07:55 status half-installed gcc-14-base:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:55 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:55 install grep:arm64 <none> 3.11-4build1
2024-10-11 02:07:55 status half-installed grep:arm64 3.11-4build1
2024-10-11 02:07:55 status unpacked grep:arm64 3.11-4build1
2024-10-11 02:07:55 install gzip:arm64 <none> 1.12-1ubuntu3
2024-10-11 02:07:55 status half-installed gzip:arm64 1.12-1ubuntu3
2024-10-11 02:07:55 status unpacked gzip:arm64 1.12-1ubuntu3
2024-10-11 02:07:55 install hostname:arm64 <none> 3.23+nmu2ubuntu2
2024-10-11 02:07:55 status half-installed hostname:arm64 3.23+nmu2ubuntu2
2024-10-11 02:07:55 status unpacked hostname:arm64 3.23+nmu2ubuntu2
2024-10-11 02:07:55 install init-system-helpers:all <none> 1.66ubuntu1
2024-10-11 02:07:55 status half-installed init-system-helpers:all 1.66ubuntu1
2024-10-11 02:07:55 status unpacked init-system-helpers:all 1.66ubuntu1
2024-10-11 02:07:55 install libacl1:arm64 <none> 2.3.2-1build1
2024-10-11 02:07:55 status half-installed libacl1:arm64 2.3.2-1build1
2024-10-11 02:07:55 status unpacked libacl1:arm64 2.3.2-1build1
2024-10-11 02:07:55 install libattr1:arm64 <none> 1:2.5.2-1build1
2024-10-11 02:07:55 status half-installed libattr1:arm64 1:2.5.2-1build1
2024-10-11 02:07:55 status unpacked libattr1:arm64 1:2.5.2-1build1
2024-10-11 02:07:55 install libaudit-common:all <none> 1:3.1.2-2.1build1
2024-10-11 02:07:55 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2024-10-11 02:07:55 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-10-11 02:07:55 install libaudit1:arm64 <none> 1:3.1.2-2.1build1
2024-10-11 02:07:55 status half-installed libaudit1:arm64 1:3.1.2-2.1build1
2024-10-11 02:07:55 status unpacked libaudit1:arm64 1:3.1.2-2.1build1
2024-10-11 02:07:55 install libblkid1:arm64 <none> 2.39.3-9ubuntu6
2024-10-11 02:07:55 status half-installed libblkid1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:55 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:55 install libbz2-1.0:arm64 <none> 1.0.8-5.1
2024-10-11 02:07:55 status half-installed libbz2-1.0:arm64 1.0.8-5.1
2024-10-11 02:07:55 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2024-10-11 02:07:55 install libc-bin:arm64 <none> 2.39-0ubuntu8
2024-10-11 02:07:55 status half-installed libc-bin:arm64 2.39-0ubuntu8
2024-10-11 02:07:55 status unpacked libc-bin:arm64 2.39-0ubuntu8
2024-10-11 02:07:55 upgrade libc6:arm64 2.39-0ubuntu8 2.39-0ubuntu8
2024-10-11 02:07:55 status half-configured libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:55 status unpacked libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:55 status half-installed libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:56 status unpacked libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:56 install libcap-ng0:arm64 <none> 0.8.4-2build2
2024-10-11 02:07:56 status half-installed libcap-ng0:arm64 0.8.4-2build2
2024-10-11 02:07:56 status unpacked libcap-ng0:arm64 0.8.4-2build2
2024-10-11 02:07:56 install libcap2:arm64 <none> 1:2.66-5ubuntu2
2024-10-11 02:07:56 status half-installed libcap2:arm64 1:2.66-5ubuntu2
2024-10-11 02:07:56 status unpacked libcap2:arm64 1:2.66-5ubuntu2
2024-10-11 02:07:56 install libcom-err2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:56 status half-installed libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:56 status unpacked libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:56 install libcrypt1:arm64 <none> 1:4.4.36-4build1
2024-10-11 02:07:56 status half-installed libcrypt1:arm64 1:4.4.36-4build1
2024-10-11 02:07:56 status unpacked libcrypt1:arm64 1:4.4.36-4build1
2024-10-11 02:07:56 install libdebconfclient0:arm64 <none> 0.271ubuntu3
2024-10-11 02:07:56 status half-installed libdebconfclient0:arm64 0.271ubuntu3
2024-10-11 02:07:56 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2024-10-11 02:07:56 install libext2fs2t64:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:56 status half-installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:56 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:56 install libgcc-s1:arm64 <none> 14-20240412-0ubuntu1
2024-10-11 02:07:56 status half-installed libgcc-s1:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:56 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:56 install libgcrypt20:arm64 <none> 1.10.3-2build1
2024-10-11 02:07:56 status half-installed libgcrypt20:arm64 1.10.3-2build1
2024-10-11 02:07:56 status unpacked libgcrypt20:arm64 1.10.3-2build1
2024-10-11 02:07:56 install libgmp10:arm64 <none> 2:6.3.0+dfsg-2ubuntu6
2024-10-11 02:07:56 status half-installed libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2024-10-11 02:07:56 status unpacked libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2024-10-11 02:07:56 install libgpg-error0:arm64 <none> 1.47-3build2
2024-10-11 02:07:56 status half-installed libgpg-error0:arm64 1.47-3build2
2024-10-11 02:07:56 status unpacked libgpg-error0:arm64 1.47-3build2
2024-10-11 02:07:56 install liblz4-1:arm64 <none> 1.9.4-1build1
2024-10-11 02:07:56 status half-installed liblz4-1:arm64 1.9.4-1build1
2024-10-11 02:07:56 status unpacked liblz4-1:arm64 1.9.4-1build1
2024-10-11 02:07:56 install liblzma5:arm64 <none> 5.6.1+really5.4.5-1
2024-10-11 02:07:56 status half-installed liblzma5:arm64 5.6.1+really5.4.5-1
2024-10-11 02:07:56 status unpacked liblzma5:arm64 5.6.1+really5.4.5-1
2024-10-11 02:07:56 install libmd0:arm64 <none> 1.1.0-2build1
2024-10-11 02:07:56 status half-installed libmd0:arm64 1.1.0-2build1
2024-10-11 02:07:56 status unpacked libmd0:arm64 1.1.0-2build1
2024-10-11 02:07:56 install libmount1:arm64 <none> 2.39.3-9ubuntu6
2024-10-11 02:07:56 status half-installed libmount1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:56 status unpacked libmount1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:56 install libncursesw6:arm64 <none> 6.4+20240113-1ubuntu2
2024-10-11 02:07:56 status half-installed libncursesw6:arm64 6.4+20240113-1ubuntu2
2024-10-11 02:07:56 status unpacked libncursesw6:arm64 6.4+20240113-1ubuntu2
2024-10-11 02:07:56 install libpam-modules:arm64 <none> 1.5.3-5ubuntu5
2024-10-11 02:07:56 status half-installed libpam-modules:arm64 1.5.3-5ubuntu5
2024-10-11 02:07:56 status unpacked libpam-modules:arm64 1.5.3-5ubuntu5
2024-10-11 02:07:56 install libpam-modules-bin:arm64 <none> 1.5.3-5ubuntu5
2024-10-11 02:07:56 status half-installed libpam-modules-bin:arm64 1.5.3-5ubuntu5
2024-10-11 02:07:56 status unpacked libpam-modules-bin:arm64 1.5.3-5ubuntu5
2024-10-11 02:07:56 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2024-10-11 02:07:56 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2024-10-11 02:07:56 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2024-10-11 02:07:56 install libpam0g:arm64 <none> 1.5.3-5ubuntu5
2024-10-11 02:07:56 status half-installed libpam0g:arm64 1.5.3-5ubuntu5
2024-10-11 02:07:57 status unpacked libpam0g:arm64 1.5.3-5ubuntu5
2024-10-11 02:07:57 install libpcre2-8-0:arm64 <none> 10.42-4ubuntu2
2024-10-11 02:07:57 status half-installed libpcre2-8-0:arm64 10.42-4ubuntu2
2024-10-11 02:07:57 status unpacked libpcre2-8-0:arm64 10.42-4ubuntu2
2024-10-11 02:07:57 install libproc2-0:arm64 <none> 2:4.0.4-4ubuntu3
2024-10-11 02:07:57 status half-installed libproc2-0:arm64 2:4.0.4-4ubuntu3
2024-10-11 02:07:57 status unpacked libproc2-0:arm64 2:4.0.4-4ubuntu3
2024-10-11 02:07:57 install libselinux1:arm64 <none> 3.5-2ubuntu2
2024-10-11 02:07:57 status half-installed libselinux1:arm64 3.5-2ubuntu2
2024-10-11 02:07:57 status unpacked libselinux1:arm64 3.5-2ubuntu2
2024-10-11 02:07:57 install libsemanage-common:all <none> 3.5-1build5
2024-10-11 02:07:57 status half-installed libsemanage-common:all 3.5-1build5
2024-10-11 02:07:57 status unpacked libsemanage-common:all 3.5-1build5
2024-10-11 02:07:57 install libsemanage2:arm64 <none> 3.5-1build5
2024-10-11 02:07:57 status half-installed libsemanage2:arm64 3.5-1build5
2024-10-11 02:07:57 status unpacked libsemanage2:arm64 3.5-1build5
2024-10-11 02:07:57 install libsepol2:arm64 <none> 3.5-2build1
2024-10-11 02:07:57 status half-installed libsepol2:arm64 3.5-2build1
2024-10-11 02:07:57 status unpacked libsepol2:arm64 3.5-2build1
2024-10-11 02:07:57 install libsmartcols1:arm64 <none> 2.39.3-9ubuntu6
2024-10-11 02:07:57 status half-installed libsmartcols1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:57 status unpacked libsmartcols1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:57 install libss2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:57 status half-installed libss2:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:57 status unpacked libss2:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:57 install libssl3t64:arm64 <none> 3.0.13-0ubuntu3
